Hora,Packet loss (%),Round trip (ms)
2011-03-26T08:15:19+00:00,0.0,60.58
2011-03-26T08:16:19+00:00,0.0,60.632
2011-03-26T08:17:20+00:00,0.0,60.523
2011-03-26T08:18:20+00:00,0.0,60.541
2011-03-26T08:19:20+00:00,0.0,60.469
2011-03-26T08:20:20+00:00,0.0,60.574
2011-03-26T08:21:20+00:00,0.0,60.528
2011-03-26T08:22:19+00:00,0.0,60.488
2011-03-26T08:23:20+00:00,0.0,60.57
2011-03-26T08:24:20+00:00,0.0,60.473
2011-03-26T08:25:20+00:00,0.0,60.514
2011-03-26T08:26:19+00:00,0.0,60.427
2011-03-26T08:27:20+00:00,0.0,60.526
2011-03-26T08:28:20+00:00,0.0,60.604
2011-03-26T08:29:20+00:00,0.0,60.81
2011-03-26T08:30:20+00:00,0.0,60.61
2011-03-26T08:31:20+00:00,0.0,60.592
2011-03-26T08:32:19+00:00,0.0,60.616
2011-03-26T08:33:20+00:00,0.0,60.492
2011-03-26T08:34:20+00:00,0.0,60.443
2011-03-26T08:35:20+00:00,0.0,60.569
2011-03-26T08:36:20+00:00,0.0,60.497
2011-03-26T08:37:20+00:00,0.0,61.127
2011-03-26T08:38:19+00:00,0.0,60.457
2011-03-26T08:39:20+00:00,0.0,60.62
2011-03-26T08:40:20+00:00,0.0,60.654
2011-03-26T08:41:20+00:00,0.0,60.563
2011-03-26T08:42:20+00:00,0.0,60.862
2011-03-26T08:43:20+00:00,0.0,60.534
2011-03-26T08:44:20+00:00,0.0,60.558
2011-03-26T08:45:20+00:00,0.0,60.676
2011-03-26T08:46:20+00:00,0.0,60.487
2011-03-26T08:47:20+00:00,0.0,60.495
2011-03-26T08:48:19+00:00,0.0,60.534
2011-03-26T08:49:20+00:00,0.0,60.417
2011-03-26T08:50:20+00:00,0.0,60.552
2011-03-26T08:51:20+00:00,0.0,60.523
2011-03-26T08:52:20+00:00,0.0,60.588
2011-03-26T08:53:20+00:00,0.0,60.512
2011-03-26T08:54:19+00:00,0.0,60.604
2011-03-26T08:55:20+00:00,0.0,60.626
2011-03-26T08:56:20+00:00,0.0,60.647
2011-03-26T08:57:20+00:00,0.0,60.611
2011-03-26T08:58:20+00:00,0.0,60.476
2011-03-26T08:59:19+00:00,0.0,60.874
2011-03-26T09:00:19+00:00,0.0,60.67
2011-03-26T09:01:20+00:00,0.0,60.561
2011-03-26T09:02:20+00:00,0.0,61.042
2011-03-26T09:03:20+00:00,0.0,60.502
2011-03-26T09:04:20+00:00,0.0,61.799
2011-03-26T09:06:10+00:00,100.0,0
2011-03-26T09:06:19+00:00,0.0,60.887
2011-03-26T09:07:20+00:00,0.0,60.609
